Channel,Subscriber,View,Income,category
Ietudel,610000,237750000,231800000,dance
강유미 yumi kang좋아서 하는 채널,800000,168180000,163830000,concept
KARD,3240000,576800000,562380000,music
PLAYLIST ORIGINALS 플레이리스트 오리지널,2580000,930960000,907685000,drama
tzuyang쯔양,3450000,319440000,311455000,food
레이디버그TV,2060000,1063280000,1036845000,kids
웃소 Wootso,1450000,1246380000,1215220000,concept
ASMR PPOMO,2450000,635700000,619805000,asmr
신의한수,1380000,1090700000,1063435000,politics
imlisarhee,2960000,398820000,388845000,dance
Thankyou BUBU,2810000,423910000,413310000,health
총몇명,2250000,716520000,697705000,animation
탁주 TV,720000,1391720000,1356930000,game
엔조이커플,2120000,695490000,678110000,concept
돼지저금통,800000,1289630000,1247375000,game
백현,3460000,44470000,43355000,music
ITSub잇섭,1760000,515130000,502250000,review
KBS 다큐,860000,497860000,485420000,program
창현,2340000,265920000,3111355000,music
고몽,1600000,640500000,660490000,review
슈기님,1650000,616590000,606175000,food
여자친구 GFRIEND OFFICIAL,2200000,395950000,386050000,music
VIVA DANCE STUDIO,2260000,385120000,375495000,dance
JOLLY,2170000,457620000,446030000,foreign
JerryPop,1850000,654210000,1274635000,hobby
입짧은햇님,1690000,627890000,612205000,food
채널 십오야,3250000,523110000,510030000,entertainment
AliceWorld,2730000,745540000,726900000,kids
유디티TV,2890000,575910000,561515000,food
디바제시카,2030000,813790000,793445000,review
[햄지]Hamzy,6680000,1862360000,1815800000,food
미니특공대TV,5160000,2876240000,2804340000,kids
Sungha Jung,6680000,1855090000,2157050000,music
문복희 Eat with Boki,5820000,1245280000,1214150000,food
Samsung,5580000,938310000,1064850000,corporation
Stone Music Entertainmnet,9750000,7510670000,7322905000,entertainment
TwinRoozi,10000000,5620530000,5480020000,kids
M2,7150000,5092320000,4965015000,entertainment
Toymong tv ,9060000,3711610000,3618820000,kids
옛드 : 옛날 드라마,2710000,4747120000,4628440000,drama
SonicToy,7140000,2887030000,2814835000,kids
DuDuPopTOY,9660000,4270810000,4164040000,kids
서은이야기,9220000,4005100000,3904975000,kids
iKON,8140000,2016670000,1966255000,music
EXO,7600000,366840000,357670000,music
SEVENTEEN,6520000,1932860000,1884670000,music
쏘영 Ssoyoung,5640000,805510000,785365000,food
[장난감티비]TOYTV,5180000,2469720000,2407975000,kids
[Awesome Haeun]어썸하은,5100000,773570000,752705000,dance
백종원의 요리비책,4970000,468930000,457200000,food
ITZY,5070000,820600000,800085000,music
starshipTV,4720000,2666280000,2599625000,entertainment
Coreano Vlogs,4530000,541460000,527920000,foreign
MBCdrama,4250000,4789780000,4670030000,drama
Cooking tree,4000000,357140000,348040000,food
까니짱,3950000,967910000,943710000,food
로미유 스토리,3900000,1010560000,985295000,kids
허팝Heopop,3770000,3035110000,2959230000,concept
네이비버스 - 인기동요,4720000,3078010000,3001060000,kids
BT21,4450000,336280000,327870000,brand
SBS NOW,4380000,4322030000,4213980000,entertainment
하루한끼 ,4250000,392730000,383060000,food
CoCosToy,3480000,1925010000,1876885000,kids
Backhoe TV,3470000,1497650000,1460210000,kids
리월드RIWORLD,3300000,1307200000,1274520000,kids
tvN ,3200000,4470520000,4358755000,entertainment
솔라시도,3090000,182900000,178325000,daily
딩고 뮤직,2980000,1074670000,1047810000,music
새송,2880000,275570000,268765000,music
헤이지니,2600000,1566300000,1527145000,kids
odg,2490000,392990000,383165000,brand
Jay Lee Painting,2410000,361210000,352175000,hobby
와썹맨,2330000,299810000,292315000,program
진용진,2210000,590570000,575800000,concept
꿀키,2170000,264420000,257805000,food
감스트GAMST,2030000,1316630000,1283710000,game
Internation Couple[사샤와 제이],1980000,192050000,152255000,daily
올리버쌤,1940000,432180000,421370000,foreign
SBS Catch,1890000,1743270000,1699685000,entertainment
악동 김블루,1760000,908430000,885715000,game
승우아빠,1420000,366440000,357280000,food
문명특급,1340000,237560000,231590000,entertainment
Tido Kang,1320000,225680000,220040000,music
테스터훈,1170000,727370000,709180000,game
파뿌리,1160000,899930000,877430000,food
딩고 ,1000000,320660000,312650000,entertainment
기리TV,1000000,939510000,915520000,game
잼스터,1000000,261940000,255385000,concept
공부의신 강성태,1010000,253210000,247600000,information
쁘허,1010000,341290000,332760000,game
킴성태TV,1020000,647910000,538700000,game
츄팝,1030000,462700000,497590000,hobby
써니채널,1040000,93050000,75015000,beauty
우리의 식탁,1050000,75800000,76580000,food
TBS 시민의 방송,1050000,774000000,747260000,news
릴카,1060000,348490000,385000000,daily
핫도그TV,1060000,691610000,675000000,concept
유정호tv,980000,793680000,256300000,daily
수빙수tv,970000,259810000,245800000,food
B Man 삐맨,970000,459430000,498500000,review
램램TV,960000,753460000,734500000,game
유병재,940000,109330000,105100000,concept
말왕TV,940000,312470000,304655000,health
침착맨,940000,562630000,548515000,daily
일반인들의 소름돋는 라이브,930000,357500000,358500000,collection
남순 NS,930000,871490000,849710000,concept
띠미 ddimmi,910000,327620000,319500000,concept
키에커,920000,236240000,230000000,hobby
SUNBA선바,900000,873830000,851985000,concept
디렉터 파이,890000,117330000,114500000,beauty
잉여맨 유튜브,890000,750360000,731600000,game
U.M.A.우마,890000,200490000,195480000,concept
SBS Radio,890000,477810000,465870000,radio
뉴스TVCHOSUN,870000,644400000,617540000,news
머독방송,870000,747370000,728685000,game
연다,870000,496360000,483950000,game
헌터퐝,870000,160040000,158000000,concept
토깽이네,860000,797460000,927040000,kids
모비딕 Mobidic,850000,263940000,257345000,entertainment
배승희 변호사,850000,307750000,245460000,politics
뚜아뚜지TV,840000,326730000,318560000,kids
Jenny Yun,810000,112450000,109540000,music
z a m,800000,552550000,538735000,collection
STUDIO DIA 스튜디오 다이아,780000,198980000,189530000,beauty
김왼팔,760000,444510000,433400000,game
러너꽃빈TV,730000,581540000,567000000,daily
윰댕,720000,514910000,502040000,daily
GCL 지씨엘,700000,172730000,168415000,review
써리의 영상툰,700000,466370000,454705000,animation
난쟁이성현,690000,170420000,166155000,concept
StimBoy스팀보이,790000,363760000,351530000,daily
POWER MOVIE,760000,216390000,210980000,review
TongTongTv통통컬처,740000,517030000,504100000,entertainment
bobqepapa-보배아빠,720000,318240000,310290000,kids
김습습,660000,49820000,48570000,beauty
로즈하,660000,68550000,66835000,beauty
연합뉴스TV,650000,850160000,82340000,news
최재성TV,10000,740000,715000,
유블리,10000,2620000,2555000,
김범영,10000,11320000,11035000,
쑤니님,10000,640000,620000,
zzal TV 고다쿠,10000,8690000,8475000,
미술탐험대,10000,9720000,9475000,
네네치킨,10000,66570000,"64,905,000.00",
백기선,10000,1300000,1265000,
로맨틱민서 MINSEO,10000,2460000,2400000,
도치툰,10000,1390000,1355000,
고양시,9920,5300000,5170000,
랑추시네마 유튜브,9910,380000,375000,
또또홈 또야/toya,9700,1240000,1210000,
멘구멘구,9650,1570000,1525000,
Chanwoo Bang,9570,930000,910000,
레아네 햄스터,9450,1630000,1595000,
얼큰토끼 Allto,9290,1160000,1135000,
포도PODO,9200,1280000,1250000,
타임포럼 / Timeforum,8980,2040000,1990000,
최Dir,8770,1880000,1835000,
yoonjacja윤작자-드라마리뷰,8760,2670000,2605000,
텀텀보,8740,3010000,2935000,
컴공대생,8620,1630000,1590000,
리뷰빌런,8530,3910000,3810000,
휘바황,8470,3000000,2925000,
한국외국어대학교 HUFS,8390,1590000,1550000,
kkang TV,8170,1070000,1040000,
이학재TV,8160,1140000,1110000,
Snufkin Och My,8130,3700000,3605000,
고뎅,8100,2690000,2615000,
_채널36.5,8060,4100000,4000000,
I am a bartender,7950,2180000,2120000,
똑단발_단국대학교 official,7930,1400000,1360000,
귀농이,7920,2700000,2630000,
세담TV[세상을 담다],7840,900000,875000,
쩜쩜쩜,7810,1690000,1645000,
청정원 푸드캐스트,7690,12420000,12105000,
sangwoo Yoo,7690,10500000,10240000,
PEACHES _official,7640,1300000,1260000,
이명환첼로이야기,7610,880000,865000,
NR_K2,7590,1110000,1080000,
뷰티아카데미,7560,2790000,2720000,
구만리농촌일상oheeTV,7530,1970000,1915000,
펫제이,7490,390000,380000,
제임스펀드,7470,4570000,4455000,
자막의 NickFrice,7390,2450000,2385000,
이정미TV,7360,250000,240000,
아주대학교-Ajou University,7320,850000,820000,
꽃세히 sayblossom,7300,820000,795000,
오신환,7210,450000,440000,
안세진사교댄스,7130,6430000,6270000,
꼬꼬,7110,1170000,1135000,
영남대학교(Yengnam University),6960,250000,240000,
묭스Myongs,6830,370000,365000,
링구맘,6800,240000,235000,
jknktv,6670,1460000,1430000,
탠서유튜브 [현실&게임],6640,200000,195000,
